id,original_id,original_tweet_time,retweet_time,user,user_join_date,user_followers_count,user_id,text
1254048032804335618,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:04 +0000 2020,Richieg11661,Mon Dec 10 18:10:05 +0000 2018,964,1072191735973826560,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048045827792897,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:07 +0000 2020,in_gloria,Mon Aug 23 00:58:48 +0000 2010,2149,181771233,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048050282102786,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:08 +0000 2020,SteveTarantino1,Mon Jun 19 13:10:06 +0000 2017,188,876789186908622849,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048082146340865,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:16 +0000 2020,PathofHimalaya,Mon Feb 08 16:38:25 +0000 2016,451,4888956328,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048091927347201,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:18 +0000 2020,ALM_DPM,Mon Sep 25 22:24:13 +0000 2017,163,912442646018260995,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048099410096129,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:20 +0000 2020,AnitaDidomenic1,Sat Jan 14 14:35:09 +0000 2017,11995,820278083592785921,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048110885683200,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:23 +0000 2020,CraigKast,Tue Mar 27 18:03:18 +0000 2012,80,538365781,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048113217736705,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:23 +0000 2020,jacoover,Tue Mar 22 18:31:58 +0000 2011,45,270493281,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048113666306051,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:24 +0000 2020,tmendoza73_tina,Sun Nov 03 16:26:50 +0000 2013,109,2172424632,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048128010985472,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:27 +0000 2020,catdanlis,Tue Jan 03 17:22:04 +0000 2017,4378,816333819133497344,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048159657058308,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:35 +0000 2020,MsAvaArmstrong,Thu Apr 17 15:02:47 +0000 2014,107337,2449913803,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048160898523139,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:35 +0000 2020,d_seign,Thu Oct 24 03:30:19 +0000 2019,5645,1187209405072314368,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048170922958851,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:37 +0000 2020,woolbrightdr,Sat Aug 08 14:47:45 +0000 2015,126,3408771580,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048173330280448,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:38 +0000 2020,Alisha90078656,Sat Mar 07 01:51:25 +0000 2020,3,1236107117322354689,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048173728968705,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:38 +0000 2020,NINJAKEK1,Sun Oct 27 22:58:35 +0000 2019,11326,1188590750390456320,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048185535705093,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:41 +0000 2020,SandraC42595084,Mon Jul 02 19:58:00 +0000 2018,2186,1013874449840345088,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048188664872960,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:41 +0000 2020,Purva007,Sun Jul 10 11:20:35 +0000 2011,4998,332764033,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254048190178844672,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:02:42 +0000 2020,Know27803566,Wed Aug 28 07:44:54 +0000 2019,41,1166617370439421953,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
